#名稱;防禦力;火,水,雷,冰,龍;四級鑲嵌槽,三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能;技能名稱1,數量,技能名稱2,數量,...
# 131 裝備
頭：
貓蜥龍護目鏡β;78;+2,+2,+0,-3,+0;0,0,0,1;(無);察覺,1
凶豺龍頭盔α;78;-2,+2,-1,-1,+1;0,0,0,0;(無);快吃,2
凶豺龍頭盔β;78;-2,+2,-1,-1,+1;0,0,0,1;(無);快吃,2
搔鳥頭盔α;78;+0,-3,+0,+1,+0;0,0,0,0;(無);火耐性,1,弱點特效,1
搔鳥頭盔β;78;+0,-3,+0,+1,+0;0,0,0,2;(無);火耐性,1
眩鳥頭盔α;78;+0,+0,-3,-2,+0;0,0,0,0;(無);閃光強化,1,昏厥耐性,1
眩鳥頭盔β;78;+0,+0,-3,-2,+0;0,0,0,1;(無);閃光強化,1
凶顎龍頭盔α;78;+0,-3,+2,+0,+1;0,0,0,0;(無);吹笛名人,1,麻痺耐性,1
凶顎龍頭盔β;78;+0,-3,+2,+0,+1;0,0,0,1;(無);吹笛名人,1
毒妖鳥頭盔α;80;+0,+3,-3,+0,+1;0,0,0,0;(無);環境利用知識,2
毒妖鳥頭盔β;80;+0,+3,-3,+0,+1;0,0,0,2;(無);環境利用知識,1
土砂龍頭盔α;80;-3,-1,+3,-1,+0;0,0,0,0;(無);防禦性能,2
土砂龍頭盔β;80;-3,-1,+3,-1,+0;0,0,0,1;(無);防禦性能,1
蠻顎龍頭盔α;82;+3,-3,-1,-1,+0;0,0,0,0;蠻顎龍之鬥志;火屬性攻擊強化,2,火耐性,1
蠻顎龍頭盔β;82;+3,-3,-1,-1,+0;0,0,1,0;蠻顎龍之鬥志;火屬性攻擊強化,2
泥魚龍頭盔α;82;-1,+2,-3,+0,+0;0,0,0,0;(無);適應水場深雪,2
泥魚龍頭盔β;82;-1,+2,-3,+0,+0;0,0,0,1;(無);適應水場深雪,1
飛雷龍頭盔α;82;+0,-3,+3,+0,+0;0,0,0,0;(無);體術,2
飛雷龍頭盔β;82;+0,-3,+3,+0,+0;0,0,1,0;(無);體術,1
浮空龍頭盔α;82;-3,+2,+0,+1,+0;0,0,0,0;(無);耐力急速回復,2
浮空龍頭盔β;82;-3,+2,+0,+1,+0;0,0,1,0;(無);耐力急速回復,1
雌火龍頭盔α;84;+2,+0,-2,+0,-3;0,0,0,0;(無);體力增強,2,毒屬性強化,1
雌火龍頭盔β;84;+2,+0,-2,+0,-3;0,0,0,1;(無);體力增強,1,毒屬性強化,1
火龍心頭盔α;84;+3,+0,-3,+0,-4;0,0,0,0;櫻火龍之奧祕;迴避距離UP,1,毒屬性強化,1
火龍心頭盔β;84;+3,+0,-3,+0,-4;0,0,1,0;櫻火龍之奧祕;迴避距離UP,1
骨鎚龍頭盔α;78;+0,+2,+0,-1,-2;0,0,0,0;(無);耐震,2
骨鎚龍頭盔β;78;+0,+2,+0,-1,-2;0,0,1,0;(無);耐震,1
突擊龍角α;86;+3,+0,+0,+0,+0;0,0,0,0;(無);減輕膽怯,2,爆破異常狀態的耐性,1
突擊龍角β;86;+3,+0,+0,+0,+0;0,0,0,1;(無);減輕膽怯,1
岩賊龍頭盔α;86;+2,+0,-3,+0,+2;0,0,0,0;(無);爆破異常狀態的耐性,2
岩賊龍頭盔β;86;+2,+0,-3,+0,+2;0,0,0,1;(無);爆破異常狀態的耐性,1
鑄島熔岩頭飾α;76;+4,-3,-1,-2,-3;0,0,0,0;熔山龍的奧祕;匠,1,爆破屬性強化,1
鑄島熔岩頭飾β;76;+4,-3,-1,-2,-3;0,0,0,1;熔山龍的奧祕;匠,1
礦石頭盔α;82;+0,-1,-2,+3,+0;0,0,0,0;(無);冰耐性,2,耳塞,1
礦石頭盔β;82;+0,-1,-2,+3,+0;0,0,1,0;(無);冰耐性,2
鑄鐵頭盔α;82;-2,+0,+3,-1,+0;0,0,0,0;(無);雷屬性攻擊強化,2
鑄鐵頭盔β;82;-2,+0,+3,-1,+0;0,0,0,1;(無);雷屬性攻擊強化,1
旅團帽α;84;+1,+0,+2,+0,+2;0,0,0,0;(無);回復速度,2,吹笛名人,1
旅團帽β;84;+1,+0,+2,+0,+2;0,0,0,1;(無);回復速度,2
艾路頭套α;88;+2,+2,+2,+2,+0;0,0,0,0;(無);指示隨從,3
知性眼鏡α;88;+2,+2,+2,+2,+0;0,0,0,1;(無);看破,2
熔岩龍頭盔α;88;+3,-3,+1,-2,+2;0,0,0,0;(無);火屬性攻擊強化,2,收刀術,1
熔岩龍頭盔β;88;+3,-3,+1,-2,+2;0,0,0,2;(無);火屬性攻擊強化,1,收刀術,1
風漂龍頭盔α;86;-1,+2,-3,+3,+0;0,0,0,0;風漂龍的恩寵;精靈加護,2,冰屬性攻擊強化,1
風漂龍頭盔β;86;-1,+2,-3,+3,+0;0,0,0,1;風漂龍的恩寵;精靈加護,2
慘爪龍頭盔α;86;+2,+2,-2,-3,+0;0,0,0,0;慘爪龍的奧秘;裂傷耐性,2,看破,1
慘爪龍頭盔β;86;+2,+2,-2,-3,+0;0,0,1,0;慘爪龍的奧秘;裂傷耐性,2
火龍頭盔α;86;+3,+1,-2,+1,-3;0,0,0,0;火龍奧秘;攻擊,2,火屬性攻擊強化,1
火龍頭盔β;86;+3,+1,-2,+1,-3;0,0,0,1;火龍奧秘;攻擊,2
火龍魂頭盔α;82;+3,+2,+2,-3,-4;0,0,0,0;火龍奧秘;超會心,1,威嚇,2
火龍魂頭盔β;82;+3,+2,+2,-3,-4;0,0,0,2;火龍奧秘;超會心,1
角龍頭盔α;86;+3,-2,+0,-3,+2;0,0,0,0;角龍之奧秘;拔刀術技,2,火場怪力,1
角龍頭盔β;86;+3,-2,+0,-3,+2;0,0,1,0;角龍之奧秘;拔刀術技,2
暴君角龍頭盔α;82;+2,-3,+0,-4,+2;0,0,0,1;角龍之奧秘;集中,2
暴君角龍頭盔β;82;+2,-3,+0,-4,+2;0,1,0,0;角龍之奧秘;集中,1
爆鎚龍頭盔α;86;+4,-3,+1,-2,-2;0,1,0,0;爆鎚龍之守護;雷耐性,2
爆鎚龍頭盔β;86;+4,-3,+1,-2,-2;0,1,0,1;爆鎚龍之守護;雷耐性,1
爆鱗龍頭盔α;84;+3,+1,-4,-2,-2;0,0,1,0;爆鱗龍之守護;耳塞,2,爆破屬性強化,1
爆鱗龍頭盔β;84;+3,+1,-4,-2,-2;0,1,0,1;爆鱗龍之守護;耳塞,2
大馬士革頭盔α;86;+4,-2,+0,+0,+0;0,0,0,1;(無);防禦,2,砥石使用高速化,1
大馬士革頭盔β;86;+4,-2,+0,+0,+0;0,1,0,0;(無);防禦,2
杜賓頭盔α;86;-2,+0,-1,-1,+4;0,0,0,0;(無);屬性解放裝填擴充,1,龍耐性,1
杜賓頭盔β;86;-2,+0,-1,-1,+4;0,0,0,1;(無);屬性解放裝填擴充,1
死神首腦α;88;+3,+2,-2,+3,-4;0,0,1,0;(無);死裡逃生,1,看破,1
死神首腦β;88;+3,+2,-2,+3,-4;0,1,0,0;(無);死裡逃生,1
骷髏面罩α;90;-3,-1,-1,-1,+2;0,0,1,0;(無);匠,1
戰紋頭盔α;84;+1,+1,-3,+1,-3;0,0,0,1;滅盡龍之飢餓;精神抖擻,2,攻擊,1
戰紋頭盔β;84;+1,+1,-3,+1,-3;0,0,0,2;滅盡龍之飢餓;精神抖擻,2
帝王皇冠α;84;+3,-3,+1,-3,+1;0,0,0,0;炎王龍之武技;力量解放,2
帝王皇冠β;84;+3,-3,+1,-3,+1;0,0,1,0;炎王龍之武技;力量解放,1
鋼龍強力α;84;+0,+2,-3,+4,-2;0,0,0,0;鋼龍之飛翔;冰屬性攻擊強化,2,匠,1
鋼龍強力β;84;+0,+2,-3,+4,-2;0,0,0,3;鋼龍之飛翔;冰屬性攻擊強化,2
烏爾德頭盔α;84;-4,+4,+1,-1,-3;0,0,0,0;屍套龍之命脈;無傷,1,龍屬性攻擊強化,2
烏爾德頭盔β;84;-4,+4,+1,-1,-3;0,0,0,1;屍套龍之命脈;無傷,1
麒麟角α;84;-3,-2,+4,-2,+2;0,0,0,0;麒麟的恩寵;跑者,2,精靈加護,1
麒麟角β;84;-3,-2,+4,-2,+2;0,0,0,1;麒麟的恩寵;跑者,2
冥燈幽火頭飾α;92;-3,+2,+2,+2,-4;0,0,0,1;冥燈龍的神秘;減輕膽怯,1,特殊射擊強化,1
冥燈幽火頭飾β;92;-3,+2,+2,+2,-4;0,0,1,0;冥燈龍的神秘;減輕膽怯,1
公會十字頭飾α;82;+0,+0,+0,+0,+0;0,0,0,1;公會的指引;精靈加護,2,雷耐性,2
公會十字頭飾β;82;+0,+0,+0,+0,+0;0,0,0,3;公會的指引;精靈加護,2
龍王的獨眼α;90;+0,+0,+0,+0,+0;0,1,0,0;(無);弱點特效,2
追蹤者頭飾α;90;+2,+2,+2,+2,+2;0,0,0,1;調查團的指引;整備,1,採集達人,1
追蹤者頭飾β;90;+2,+2,+2,+2,+2;0,0,1,0;調查團的指引;整備,1
封龍耳飾α;86;+0,+0,+0,+0,+0;0,0,0,0;(無);龍封力強化,1
殘虐頭盔α;84;+1,+1,-3,+2,-3;0,0,0,1;(無);破壞王,1,匠,1
殘虐頭盔β;84;+1,+1,-3,+2,-3;0,1,0,1;(無);破壞王,1
絢輝龍鎧羅頭盔α;92;+4,-2,+3,-4,-2;0,0,0,1;(無);屬性解放裝填擴充,1,挑戰者,2
絢輝龍鎧羅頭盔β;92;+4,-2,+3,-4,-2;0,0,1,1;(無);屬性解放裝填擴充,1,挑戰者,1
皇后琴弦α;90;+3,+1,+1,-3,-2;0,1,0,1;炎妃龍之恩寵;迴避距離UP,2,整備,1
皇后琴弦β;90;+3,+1,+1,-3,-2;0,1,1,0;炎妃龍之恩寵;迴避距離UP,2
巴魯特頭飾α;78;+1,+1,+4,+1,+1;0,0,0,2;(無);蜂蜜獵人,1
潛水夫修羅α;84;+1,+4,+1,+1,+1;0,0,1,0;(無);跑者,1
收穫頭飾α;84;+4,+1,+1,+1,+1;0,0,1,1;(無);集中,1
獵戶星頭飾α;90;+1,+1,+1,+4,+1;0,1,0,1;(無);體力回復量UP,1
盛裝頭飾α;90;+1,+1,+1,+1,+4;0,0,1,2;星辰的祝福;超會心,1
獨角仙后護頭α;80;-1,-1,+2,+0,+2;0,0,0,1;(無);昏厥耐性,2,防禦,1
獨角仙后護頭β;80;-1,-1,+2,+0,+2;0,0,1,0;(無);昏厥耐性,2
戰紋頭盔γ;84;+1,+1,-3,+1,-3;0,0,2,0;滅盡龍之飢餓;耐力急速回復,2,挑戰者,1
烏爾德頭盔γ;92;-4,+4,+1,-1,-3;0,1,0,0;屍套龍之命脈;體力回復量UP,2,龍屬性攻擊強化,1
麒麟角γ;92;-3,-2,+4,-2,+2;0,0,1,0;麒麟的恩寵;屬性異常狀態的耐性,1,雷屬性攻擊強化,3
帝王皇冠γ;92;+3,-3,+1,-3,+1;0,0,2,0;炎王龍之武技;看破,2
鋼龍強力γ;92;+0,+2,-3,+4,-2;0,0,1,0;鋼龍之飛翔;匠,2
鑄島熔岩頭飾γ;92;+4,-3,-1,-2,-3;0,0,1,0;熔山龍的奧祕;風壓耐性,2,看破,2
冥燈幽火頭飾γ;90;-3,+2,+2,+2,-4;0,0,1,2;冥燈龍的神秘;屬性異常狀態的耐性,2,強化持續,1
絢輝龍鎧羅頭盔γ;92;+4,-2,+3,-4,-2;0,1,0,2;(無);整備,1,昏厥耐性,1
皇后琴弦γ;90;+3,+1,+1,-3,-2;0,0,0,3;炎妃龍之恩寵;廣域化,2,無傷,1
蒼星之將頭盔α;82;+2,+2,+0,+0,+3;0,1,0,0;火龍奧秘;挑戰者,1
但丁假髮α;84;+3,-3,+3,-3,+3;0,0,0,1;(無);弱點特效,1,看破,1
騰龍戰盔α;92;-2,-2,+3,-2,+4;0,1,0,1;龍騎士之證;超會心,1,飛燕,1
封印的眼罩α;84;+3,+2,+0,+2,+0;0,0,1,1;(無);火耐性,1
墨鏡α;84;+4,+0,+4,+2,+0;0,0,0,3;(無);昏厥耐性,1
扒手龍頭套α;84;+2,+0,+2,+3,+2;0,1,0,1;(無);搬運達人,1
搖曳鰻頭套α;84;+0,+4,+0,+0,+4;0,0,0,2;(無);廣域化,2
精英骨製頭盔α;172;+2,+0,+2,+0,+2;0,1,0,0;(無);體力增強,2,破壞王,1
精英骨製頭盔β;172;+2,+0,+2,+0,+2;1,0,0,0;(無);體力增強,1,破壞王,1
精英合金頭盔α;152;-2,+0,-2,-2,+0;0,0,1,0;(無);風壓耐性,2,防禦,1
精英合金頭盔β;152;-2,+0,-2,-2,+0;1,0,0,1;(無);風壓耐性,1
精英巨蜂頭盔α;154;-2,+1,+1,+1,+2;0,1,0,0;(無);收刀術,1,麻痺屬性強化,1
精英巨蜂頭盔β;154;-2,+1,+1,+1,+2;1,0,0,1;(無);收刀術,1
精英巨甲蟲頭盔α;154;-1,-1,+0,+0,+2;0,0,1,0;(無);弱點特效,1,龍屬性攻擊強化,2
精英巨甲蟲頭盔β;154;-1,-1,+0,+0,+2;1,0,0,0;(無);弱點特效,1,龍屬性攻擊強化,1
精英貓蜥龍護目鏡α;154;+2,+2,+0,-3,+0;0,0,1,1;(無);察覺,1,地質學,2
精英貓蜥龍護目鏡β;154;+2,+2,+0,-3,+0;1,0,1,0;(無);察覺,1,地質學,1
精英突擊龍角α;154;+3,+0,+0,+0,+0;0,0,0,1;(無);減輕膽怯,2,爆破異常狀態的耐性,1
精英突擊龍角β;154;+3,+0,+0,+0,+0;1,0,0,1;(無);減輕膽怯,1,爆破異常狀態的耐性,1
精英冰豺狼圍巾α;154;-3,+2,-2,+3,+2;0,0,1,1;(無);冰耐性,2,騎乘名人,1
精英冰豺狼圍巾β;154;-3,+2,-2,+3,+2;1,0,0,1;(無);冰耐性,1,騎乘名人,1
精英凶豺龍頭盔α;154;-2,+2,-1,-1,+1;0,0,1,0;(無);快吃,2,攻擊,2
精英凶豺龍頭盔β;154;-2,+2,-1,-1,+1;1,0,0,1;(無);快吃,1,攻擊,2
精英眩鳥頭盔α;154;+0,+0,-3,-2,+0;0,0,1,1;(無);屬性解放裝填擴充,1,昏厥耐性,1
精英眩鳥頭盔β;154;+0,+0,-3,-2,+0;1,0,0,1;(無);屬性解放裝填擴充,1
精英凶顎龍頭盔α;154;+0,-3,+2,+0,+1;0,0,1,0;(無);吹笛名人,2,麻痺耐性,1
精英凶顎龍頭盔β;154;+0,-3,+2,+0,+1;1,0,0,0;(無);吹笛名人,2
精英岩賊龍頭盔α;158;+2,+0,-3,+0,+2;0,1,0,0;(無);爆破異常狀態的耐性,2,炸彈客,1
精英岩賊龍頭盔β;158;+2,+0,-3,+0,+2;1,0,0,0;(無);爆破異常狀態的耐性,2
精英搔鳥頭盔α;154;+0,-3,+0,+1,+0;0,0,0,1;(無);投射器裝填數UP,2,超會心,1
精英搔鳥頭盔β;154;+0,-3,+0,+1,+0;1,0,0,0;(無);投射器裝填數UP,2
精英毒妖鳥頭盔α;156;+0,+3,-3,+0,+1;0,0,2,0;(無);環境利用知識,2,毒耐性,1
精英毒妖鳥頭盔β;156;+0,+3,-3,+0,+1;1,0,0,2;(無);環境利用知識,2
精英妖水頭盔α;170;+0,+3,-2,-3,+0;0,0,0,1;(無);拔刀術技,2,道具使用強化,1
精英妖水頭盔β;170;+0,+3,-2,-3,+0;1,0,0,0;(無);拔刀術技,1,道具使用強化,1
精英土砂龍頭盔α;156;-3,-1,+3,-1,+0;0,0,1,0;(無);防禦性能,2,跑者,1
精英土砂龍頭盔β;156;-3,-1,+3,-1,+0;1,0,0,1;(無);防禦性能,2
精英泥魚龍頭盔α;156;-1,+2,-3,+0,+0;0,0,0,2;(無);力量解放,2,集中,1
精英泥魚龍頭盔β;156;-1,+2,-3,+0,+1;0,0,0,1;(無);力量解放,1,集中,1
精英冰魚龍頭盔α;156;-3,+0,-2,+3,+2;0,0,1,0;(無);適應水場深雪,2,耳塞,1
精英冰魚龍頭盔β;156;-3,+0,-2,+3,+2;1,0,0,1;(無);適應水場深雪,2
精英飛雷龍頭盔α;158;+0,-3,+3,+0,+0;0,0,1,0;(無);體術,2,迴避距離UP,1
精英飛雷龍頭盔β;158;+0,-3,+3,+0,+0;1,0,0,1;(無);體術,1,迴避距離UP,1
精英朱毒頭盔α;170;+1,+3,-3,-2,+1;0,0,0,1;(無);迴避距離UP,2,麻痺屬性強化,1
精英朱毒頭盔β;170;+1,+3,-3,-2,+1;1,0,0,0;(無);迴避距離UP,1,麻痺屬性強化,1
精英礦石頭盔α;166;+0,-1,-2,+3,+0;0,0,1,0;(無);冰耐性,2,耳塞,2
精英礦石頭盔β;166;+0,-1,-2,+3,+0;1,0,0,1;(無);冰耐性,2,耳塞,1
精英猛牛龍頭盔α;168;-2,+2,-1,+3,-3;0,0,1,0;(無);怨恨,2,最愛菇類,1
精英猛牛龍頭盔β;168;-2,+2,-1,+3,-3;1,0,0,1;(無);怨恨,2
精英蠻顎龍頭盔α;170;+3,-3,-1,-1,+0;0,1,0,0;蠻顎龍的霸氣;火屬性攻擊強化,2,火耐性,1
精英蠻顎龍頭盔β;170;+3,-3,-1,-1,+0;1,0,0,0;蠻顎龍的霸氣;火屬性攻擊強化,2
精英雷顎頭盔α;170;-1,-1,+2,-3,+0;0,0,1,1;蠻顎龍的霸氣;弱點特效,1,死裡逃生,1
精英雷顎頭盔β;170;-1,-1,+2,-3,+0;1,0,1,0;蠻顎龍的霸氣;弱點特效,1
精英雌火龍頭盔α;168;+2,+0,-2,+0,-3;0,1,0,0;雌火龍的真髓;體力增強,2,毒屬性強化,1
精英雌火龍頭盔β;168;+2,+0,-2,+0,-3;1,0,0,0;雌火龍的真髓;體力增強,1,毒屬性強化,1
精英火龍心頭盔α;170;+3,+0,-3,+0,-4;0,1,0,0;雌火龍的真髓;迴避距離UP,2,攀岩者,1
精英火龍心頭盔β;170;+3,+0,-3,+0,-4;1,0,0,1;雌火龍的真髓;迴避距離UP,2
精英浮空龍頭盔α;168;-3,+2,+0,+1,+0;0,1,0,0;(無);耐力急速回復,2,風壓耐性,1
精英浮空龍頭盔β;168;-3,+2,+0,+1,+0;1,0,0,1;(無);耐力急速回復,2
精英浮夢頭盔α;170;-3,-3,+2,+1,+1;0,0,0,2;(無);弱點特效,1,廣域化,1
精英浮夢頭盔β;170;-3,-3,+2,+1,+1;1,0,0,0;(無);弱點特效,1
精英骨鎚龍頭盔α;172;+0,+2,+0,-1,-2;0,0,0,2;(無);耐震,2,KO術,1
精英骨鎚龍頭盔β;172;+0,+2,+0,-1,-2;0,1,0,0;(無);耐震,2
精英機械頭盔α;174;+1,-2,-2,+2,+3;0,0,1,0;太古的神秘;投射器裝填數UP,2,屬性解放裝填擴充,1
精英機械頭盔β;174;+1,-2,-2,+2,+3;1,0,0,1;太古的神秘;投射器裝填數UP,1,屬性解放裝填擴充,1
精英蒸氣貴族頭盔α;174;+2,+2,+2,-1,-1;0,0,0,2;調查團的鍊金術;挑戰者,2,破壞王,1
精英蒸氣貴族頭盔β;174;+2,+2,+2,-1,-1;1,0,0,1;調查團的鍊金術;挑戰者,1,破壞王,1
精英鑄鐵頭盔α;168;-2,+0,+3,-1,+0;0,0,1,0;(無);雷屬性攻擊強化,2,風壓耐性,1
精英鑄鐵頭盔β;168;-2,+0,+3,-1,+0;1,0,1,0;(無);雷屬性攻擊強化,2
精英冰牙龍頭盔α;170;-3,+2,-2,+3,+0;0,0,0,2;冰牙龍的秘技;迴避距離UP,2,強化持續,1
精英冰牙龍頭盔β;170;-3,+2,-2,+3,+0;1,0,0,1;冰牙龍的秘技;迴避距離UP,1,強化持續,1
精英火龍頭盔α;172;+3,+1,-2,+1,-3;0,0,1,0;火龍的真髓;攻擊,2,火屬性攻擊強化,2
精英火龍頭盔β;172;+3,+1,-2,+1,-3;1,0,0,1;火龍的真髓;攻擊,2
精英火龍魂頭盔α;172;+3,+2,+2,-3,-4;0,0,0,2;火龍的真髓;超會心,1,攀岩者,1
精英火龍魂頭盔β;172;+3,+2,+2,-3,-4;1,0,0,0;火龍的真髓;超會心,1
精英角龍頭盔α;172;+3,-2,+0,-3,+2;0,0,1,0;角龍的霸氣;拔刀術技,2,KO術,1
精英角龍頭盔β;172;+3,-2,+0,-3,+2;1,0,0,0;角龍的霸氣;拔刀術技,2
精英暴君角龍頭盔α;172;+2,-3,+0,-4,+2;0,0,0,2;角龍的霸氣;破壞王,2,怨恨,1
精英暴君角龍頭盔β;172;+2,-3,+0,-4,+2;1,0,0,1;角龍的霸氣;破壞王,2
精英風漂龍頭盔α;172;-1,+2,-3,+3,+0;0,0,1,0;風漂龍的霸氣;精靈加護,2,冰屬性攻擊強化,2
精英風漂龍頭盔β;172;-1,+2,-3,+3,+0;1,0,0,1;風漂龍的霸氣;精靈加護,2
精英霜漂頭盔α;170;-3,+2,-1,+3,+0;0,0,0,3;風漂龍的霸氣;飢餓耐性,2,迴避距離UP,1
精英霜漂頭盔β;170;-3,+2,-1,+3,+0;1,0,0,1;風漂龍的霸氣;飢餓耐性,2
精英慘爪龍頭盔α;172;+2,+2,-2,-3,+0;0,0,1,0;慘爪龍的真髓;裂傷耐性,2,看破,2
精英慘爪龍頭盔β;172;+2,+2,-2,-3,+0;1,0,0,0;慘爪龍的真髓;裂傷耐性,2,看破,1
精英亡爪頭盔α;172;-2,-3,-2,-2,+4;0,1,0,0;慘爪龍的真髓;力量解放,2,整備,1
精英亡爪頭盔β;172;-2,-3,-2,-2,+4;1,0,1,0;慘爪龍的真髓;力量解放,2
精英熔岩龍頭盔α;172;+3,-3,+1,-2,+2;0,0,0,2;(無);火屬性攻擊強化,2,收刀術,1
精英熔岩龍頭盔β;172;+3,-3,+1,-2,+2;1,0,0,1;(無);火屬性攻擊強化,1,收刀術,1
精英爆鎚龍頭盔α;176;+4,-3,+1,-2,-2;0,0,1,1;爆鎚龍的霸氣;爆破異常狀態的耐性,2,減輕膽怯,1
精英爆鎚龍頭盔β;176;+4,-3,+1,-2,-2;1,1,0,0;爆鎚龍的霸氣;爆破異常狀態的耐性,2
精英迅龍頭盔α;172;-2,+2,-3,+0,+0;0,0,0,2;迅龍的真髓;無傷,2,貫通彈龍之箭強化,1
精英迅龍頭盔β;172;-2,+2,-3,+0,+0;1,0,0,1;迅龍的真髓;無傷,1,貫通彈龍之箭強化,1
精英斬龍頭盔α;174;+3,-3,+1,-1,-1;0,0,0,1;斬龍的真髓;集中,2,匠,1
精英斬龍頭盔β;174;+3,-3,+1,-1,-1;1,0,0,0;斬龍的真髓;集中,1,匠,1
精英斬黃頭盔α;174;-3,+2,-1,+2,-1;0,0,0,1;斬龍的真髓;精神抖擻,2,瘴氣耐性,2
精英斬黃頭盔β;174;-3,+2,-1,+2,-1;1,0,0,0;斬龍的真髓;精神抖擻,1,瘴氣耐性,2
精英碎龍頭盔α;174;+3,-2,+1,-3,+1;0,1,0,0;碎龍的真髓;挑戰者,2,砲彈裝填數UP,1
精英碎龍頭盔β;174;+3,-2,+1,-3,+1;1,0,0,1;碎龍的真髓;挑戰者,2
精英轟龍頭盔α;174;+2,+0,-3,+0,-2;0,0,0,1;轟龍的真髓;攻擊,2,耳塞,2
精英轟龍頭盔β;174;+2,+0,-3,+0,-2;1,0,0,0;轟龍的真髓;攻擊,2,耳塞,1
#精英黑帶頭盔α;174;+1,+1,+1,+1,+2;0,1,0,0;教官的引導;跑者,2,最愛菇類,1
#精英黑帶頭盔β;174;+1,+1,+1,+1,+2;1,0,1,0;教官的引導;跑者,2
精英杜賓頭盔α;176;-2,+0,-1,-1,+4;0,0,0,1;(無);屬性解放裝填擴充,2,耐力急速回復,1
精英杜賓頭盔β;176;-2,+0,-1,-1,+4;1,0,0,0;(無);屬性解放裝填擴充,2
精英大馬士革頭盔α;176;+4,-2,+0,+0,+0;0,1,0,0;(無);防禦,3,砥石使用高速化,2
精英大馬士革頭盔β;176;+4,-2,+0,+0,+0;1,0,0,2;(無);防禦,3
精英矜持頭盔α;178;+3,+1,-2,-4,-2;0,0,1,1;爆鱗龍的霸氣;耳塞,2,爆破屬性強化,2
精英矜持頭盔β;178;+3,+1,-2,-4,-2;1,0,0,1;爆鱗龍的霸氣;耳塞,2,爆破屬性強化,1
精英貪欲頭盔α;180;+2,+1,-3,+1,-3;0,0,0,1;恐暴龍的真髓;破壞王,1,匠,2
精英貪欲頭盔β;180;+2,+1,-3,+1,-3;1,1,0,0;恐暴龍的真髓;破壞王,1
精英雪崩頭盔α;172;+4,-2,+0,+0,+0;0,1,1,0;冰呪龍的神秘;精靈加護,2,轉禍為福,1
精英雪崩頭盔β;172;+4,-2,+0,+0,+0;1,0,1,0;冰呪龍的神秘;精靈加護,2
精英死滅頭盔α;174;-2,+4,+1,+1,-3;0,0,0,1;屍套龍的靈脈;無傷,2,龍屬性攻擊強化,2
精英死滅頭盔β;174;-2,+4,+1,+1,-3;1,0,0,1;屍套龍的靈脈;無傷,2
精英帝王皇冠α;174;+3,-3,+1,-3,+1;0,0,0,1;炎王龍之武技;力量解放,2,看破,2
精英帝王皇冠β;174;+3,-3,+1,-3,+1;1,0,0,0;炎王龍之武技;力量解放,1,看破,2
精英鋼龍強力α;174;+0,+2,-3,+4,-2;0,0,1,0;鋼龍之飛翔;冰屬性攻擊強化,2,迴避距離UP,2
精英鋼龍強力β;174;+0,+2,-3,+4,-2;1,0,0,1;鋼龍之飛翔;冰屬性攻擊強化,2,迴避距離UP,1
