#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
# 117裝備
身：
皇后鎧甲β;90;+3,+1,+1,-3,-2;0,0,3;炎妃龍的恩寵,無傷,2
巴魯特服飾α;78;+1,+1,+4,+1,+1;0,0,2;(無),收刀術,1
潛水夫服裝α;84;+1,+4,+1,+1,+1;0,1,0;(無),看破,1
收穫裝甲α;84;+4,+1,+1,+1,+1;0,1,1;(無),耐震,1
獵戶星服飾α;90;+1,+1,+1,+4,+1;1,0,0;(無),減輕膽怯,1
盛裝服飾α;90;+1,+1,+1,+1,+4;0,1,2;星辰的祝福,拔刀術技,1
獨角仙后上身α;80;-1,-1,+2,+0,+2;0,0,0;(無),體力增強,2,昏厥耐性,1
獨角仙后上身β;80;-1,-1,+2,+0,+2;0,0,1;(無),體力增強,2
戰紋鎧甲γ;84;+1,+1,-3,+1,-3;1,1,1;滅盡龍之飢餓,精神抖擻,1
烏爾德鎧甲γ;92;-4,+4,+1,-1,-3;1,0,0;屍套龍之命脈,無傷,1,體力回復量UP,1
麒麟服飾γ;92;-3,-2,+4,-2,+2;0,0,2;麒麟的恩寵,屬性解放裝填擴充,2
帝王鎧甲γ;92;+3,-3,+1,-3,+1;0,1,0;炎王龍之武技,力量解放,2,弱點特效,1
鋼龍恐懼γ;92;+0,+2,-3,+4,-2;0,1,0;鋼龍的飛翔,冰屬性攻擊強化,3,迴避距離UP,1
鑄島熔岩皮γ;92;+4,-3,-1,-2,-3;0,0,3;熔山龍的奧祕,耐震,2
冥燈幽火皮γ;90;-3,+2,+2,+2,-4;0,0,2;冥燈龍的神秘,減輕膽怯,2
絢輝龍鎧羅鎧甲γ;92;+4,-2,+3,-4,-2;0,0,1;(無),匠,2,挑戰者,1
皇后鎧甲γ;90;+3,+1,+1,-3,-2;1,0,0;炎妃龍的恩寵,耳塞,2,整備,1
蒼星之將鎧甲α;82;+2,+2,+0,+0,+3;0,1,0;火龍奧秘,匠,1
但丁風衣α;84;+3,-3,+3,-3,+3;1,0,0;(無),迴避性能,1,看破,1
騰龍戰鎧α;92;-2,-2,+3,-2,+4;1,0,0;龍騎士之證,看破,2,超會心,1
