#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
# 109裝備
腳：
雌火龍護腿α;84;+2,+0,-2,+0,-3;0,0,0;(無),體力回復量UP,2
雌火龍護腿β;84;+2,+0,-2,+0,-3;0,0,1;(無),體力回復量UP,1
火龍心護腿α;84;+3,+0,-3,+0,-4;0,0,0;櫻火龍之奧祕,整備,1,風壓耐性,1
火龍心護腿β;84;+3,+0,-3,+0,-4;0,1,0;櫻火龍之奧祕,整備,1
骨鎚龍護腿α;78;+0,+2,+0,-1,-2;0,0,0;(無),裂傷耐性,2
骨鎚龍護腿β;78;+0,+2,+0,-1,-2;0,0,1;(無),裂傷耐性,1
岩賊龍護腿α;86;+2,+0,-3,+0,+2;0,0,0;(無),砲彈裝填數UP,1,爆破屬性強化,1
岩賊龍護腿β;86;+2,+0,-3,+0,+2;0,0,1;(無),砲彈裝填數UP,1
鑄島熔岩靴α;76;+4,-3,-1,-2,-3;0,0,0;熔山龍的奧祕,炸彈客,2,耳塞,1
鑄島熔岩靴β;76;+4,-3,-1,-2,-3;0,1,0;熔山龍的奧祕,炸彈客,2
礦石護腿α;82;+0,-1,-2,+3,+0;0,0,0;(無),砲擊手,1,冰耐性,1
礦石護腿β;82;+0,-1,-2,+3,+0;0,0,1;(無),砲擊手,1
鑄鐵護腿α;82;-2,+0,+3,-1,+0;0,0,0;(無),防禦,2,風壓耐性,1
鑄鐵護腿β;82;-2,+0,+3,-1,+0;0,1,0;(無),防禦,2
旅團護腿α;84;+1,+0,+2,+0,+2;0,0,1;(無),研究者,1,地質學,1
旅團護腿β;84;+1,+0,+2,+0,+2;1,0,0;(無),研究者,1
熔岩龍護腿α;88;+3,-3,+1,-2,+2;0,0,1;(無),散彈剛射強化,1,火屬性攻擊強化,1
熔岩龍護腿β;88;+3,-3,+1,-2,+2;0,1,0;(無),散彈剛射強化,1
風漂龍護腿α;86;-1,+2,-3,+3,+0;0,0,0;風漂龍的恩寵,冰耐性,2,拔刀術技,1
風漂龍護腿β;86;-1,+2,-3,+3,+0;1,0,0;風漂龍的恩寵,冰耐性,2
慘爪龍護腿α;86;+2,+2,-2,-3,+0;0,0,0;慘爪龍的奧秘,收刀術,1,看破,1
慘爪龍護腿β;86;+2,+2,-2,-3,+0;0,0,1;慘爪龍的奧秘,收刀術,1
火龍護腿α;86;+3,+1,-2,+1,-3;0,0,0;火龍奧秘,跳躍鐵人,1,弱點特效,1
火龍護腿β;86;+3,+1,-2,+1,-3;1,0,0;火龍奧秘,跳躍鐵人,1
火龍魂護腿α;82;+3,+2,+2,-3,-4;0,0,0;火龍奧秘,集中,1,攀岩者,1
火龍魂護腿β;82;+3,+2,+2,-3,-4;0,0,1;火龍奧秘,集中,1
角龍護腿α;86;+3,-2,+0,-3,+2;0,0,0;角龍之奧秘,耐震,2,KO術,1
角龍護腿β;86;+3,-2,+0,-3,+2;0,0,2;角龍之奧秘,耐震,2
暴君角龍護腿α;82;+2,-3,+0,-4,+2;0,0,1;角龍之奧秘,通常彈通常箭強化,1,火場怪力,1
暴君角龍護腿β;82;+2,-3,+0,-4,+2;0,1,0;角龍之奧秘,通常彈通常箭強化,1
爆鎚龍護腿α;86;+4,-3,+1,-2,-2;0,0,1;爆鎚龍之守護,防禦性能,2
爆鎚龍護腿β;86;+4,-3,+1,-2,-2;1,0,0;爆鎚龍之守護,防禦性能,1
爆鱗龍護腿α;84;+3,+1,-4,-2,-2;0,0,1;爆鱗龍之守護,炸彈客,2,拔刀術技,1
爆鱗龍護腿β;84;+3,+1,-4,-2,-2;1,0,0;爆鱗龍之守護,炸彈客,2
大馬士革護腿α;86;+4,-2,+0,+0,+0;0,0,1;(無),防禦,2,防禦力DOWN耐性,1
大馬士革護腿β;86;+4,-2,+0,+0,+0;1,0,0;(無),防禦,2
杜賓護腿α;86;-2,+0,-1,-1,+4;0,0,0;(無),攻擊,2,耐力急速回復,1
杜賓護腿β;86;-2,+0,-1,-1,+4;0,0,1;(無),攻擊,2
死神腳跟α;88;+3,+2,-2,+3,-4;0,0,0;(無),匠,2,龍屬性攻擊強化,2
死神腳跟β;88;+3,+2,-2,+3,-4;0,0,2;(無),匠,2
戰紋護腿α;84;+1,+1,-3,+1,-3;0,0,1;滅盡龍之飢餓,精神抖擻,1,挑戰者,1
戰紋護腿β;84;+1,+1,-3,+1,-3;0,1,0;滅盡龍之飢餓,精神抖擻,1
帝王護腿α;84;+3,-3,+1,-3,+1;0,0,0;炎王龍之武技,力量解放,2,爆破屬性強化,1
帝王護腿β;84;+3,-3,+1,-3,+1;0,0,1;炎王龍之武技,力量解放,2
鋼龍踏實α;84;+0,+2,-3,+4,-2;0,0,0;鋼龍的飛翔,迴避距離UP,2,匠,1
鋼龍踏實β;84;+0,+2,-3,+4,-2;1,0,0;鋼龍的飛翔,迴避距離UP,2
烏爾德護腿α;84;-4,+4,+1,-1,-3;0,0,1;屍套龍之命脈,瘴氣耐性,2,龍屬性攻擊強化,1
烏爾德護腿β;84;-4,+4,+1,-1,-3;0,0,2;屍套龍之命脈,瘴氣耐性,2
麒麟護脛α;84;-3,-2,+4,-2,+2;0,0,0;麒麟的恩寵,屬性解放裝填擴充,2,雷耐性,2
麒麟護脛β;84;-3,-2,+4,-2,+2;0,0,2;麒麟的恩寵,屬性解放裝填擴充,2
冥燈幽火靴α;92;-3,+2,+2,+2,-4;0,0,1;冥燈龍的神秘,減輕膽怯,1,強化持續,1
冥燈幽火靴β;92;-3,+2,+2,+2,-4;0,0,2;冥燈龍的神秘,減輕膽怯,1
公會十字靴α;82;+0,+0,+0,+0,+0;0,0,1;公會的指引,飛燕,1,火耐性,2
公會十字靴β;82;+0,+0,+0,+0,+0;1,0,0;公會的指引,飛燕,1
追蹤者長褲α;90;+2,+2,+2,+2,+2;0,0,0;調查團的指引,潛伏,2,滑走強化,1
追蹤者長褲β;90;+2,+2,+2,+2,+2;0,1,0;調查團的指引,潛伏,2
殘虐護腿α;84;+1,+1,-3,+2,-3;0,0,0;(無),快吃,2,破壞王,1
殘虐護腿β;84;+1,+1,-3,+2,-3;0,0,2;(無),快吃,2
絢輝龍鎧羅護腿α;92;+4,-2,+3,-4,-2;0,0,1;(無),廣域化,2,無傷,2
絢輝龍鎧羅護腿β;92;+4,-2,+3,-4,-2;0,1,1;(無),廣域化,2,無傷,1
皇后護腿α;90;+3,+1,+1,-3,-2;0,1,1;炎妃龍的恩寵,體力增強,2,廣域化,2
皇后護腿β;90;+3,+1,+1,-3,-2;0,2,0;炎妃龍的恩寵,體力增強,2
收穫護腿α;84;+4,+1,+1,+1,+1;0,1,1;(無),最愛菇類,1
獵戶星靴α;90;+1,+1,+1,+4,+1;1,0,1;(無),火場怪力,1
盛裝靴α;90;+1,+1,+1,+1,+4;1,0,2;星辰的祝福,精靈加護,1
獨角仙后腳α;80;-1,-1,+2,+0,+2;0,0,0;(無),跑者,2,看破,1
獨角仙后腳β;80;-1,-1,+2,+0,+2;0,0,1;(無),跑者,2
烏爾德護腿γ;92;-4,+4,+1,-1,-3;1,0,1;屍套龍之命脈,無傷,1,回復速度,1
麒麟護脛γ;92;-3,-2,+4,-2,+2;1,0,0;麒麟的恩寵,屬性異常狀態的耐性,1,雷屬性攻擊強化,2
帝王護腿γ;92;+3,-3,+1,-3,+1;1,0,1;炎王龍之武技,看破,2
鋼龍踏實γ;92;+0,+2,-3,+4,-2;1,0,0;鋼龍的飛翔,迴避性能,2
鑄島熔岩靴γ;92;+4,-3,-1,-2,-3;1,1,0;熔山龍的奧祕,爆破屬性強化,2,看破,1
皇后護腿γ;90;+3,+1,+1,-3,-2;1,0,0;炎妃龍的恩寵,耳塞,2,挑戰者,1
蒼星之將腿甲α;82;+2,+2,+0,+0,+3;1,0,0;火龍奧秘,超會心,1
但丁皮褲靴α;84;+3,-3,+3,-3,+3;0,0,2;(無),弱點特效,2
騰龍護腿α;92;-2,-2,+3,-2,+4;0,1,0;龍騎士之證,攻擊,2,超會心,1
