#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
# 105裝備
腕：
土砂龍腕甲β;80;-3,-1,+3,-1,+0;0,0,1;(無),跑者,1
蠻顎龍腕甲α;82;+3,-3,-1,-1,+0;0,0,0;蠻顎龍之鬥志,特殊射擊強化,1,火屬性攻擊強化,1
蠻顎龍腕甲β;82;+3,-3,-1,-1,+0;0,0,1;蠻顎龍之鬥志,特殊射擊強化,1
泥魚龍腕甲α;82;-1,+2,-3,+0,+0;0,0,0;(無),水屬性攻擊強化,2,適應水場,1
泥魚龍腕甲β;82;-1,+2,-3,+0,+0;0,0,1;(無),水屬性攻擊強化,2
飛雷龍腕甲α;82;+0,-3,+3,+0,+0;0,0,0;(無),迴避距離UP,2
飛雷龍腕甲β;82;+0,-3,+3,+0,+0;0,1,0;(無),迴避距離UP,1
浮空龍腕甲α;82;-3,+2,+0,+1,+0;0,0,0;(無),砲術,2
浮空龍腕甲β;82;-3,+2,+0,+1,+0;0,0,1;(無),砲術,1
雌火龍腕甲α;84;+2,+0,-2,+0,-3;0,0,0;(無),毒屬性強化,2
雌火龍腕甲β;84;+2,+0,-2,+0,-3;0,0,1;(無),毒屬性強化,1
火龍心腕甲α;84;+3,+0,-3,+0,-4;0,0,0;櫻火龍之奧祕,風壓耐性,2
火龍心腕甲β;84;+3,+0,-3,+0,-4;0,1,0;櫻火龍之奧祕,風壓耐性,1
骨鎚龍腕甲α;78;+0,+2,+0,-1,-2;0,0,0;(無),睡眠屬性強化,2,防禦性能,1
骨鎚龍腕甲β;78;+0,+2,+0,-1,-2;0,0,1;(無),睡眠屬性強化,1,防禦性能,1
岩賊龍腕甲α;86;+2,+0,-3,+0,+2;0,0,0;(無),炸彈客,2
岩賊龍腕甲β;86;+2,+0,-3,+0,+2;0,0,1;(無),炸彈客,1
鑄島熔岩鋼爪α;76;+4,-3,-1,-2,-3;0,0,0;熔山龍的奧祕,屬性解放裝填擴充,1,炸彈客,1
鑄島熔岩鋼爪β;76;+4,-3,-1,-2,-3;0,0,1;熔山龍的奧祕,屬性解放裝填擴充,1
礦石腕甲α;82;+0,-1,-2,+3,+0;0,0,0;(無),防禦,2,冰屬性攻擊強化,1
礦石腕甲β;82;+0,-1,-2,+3,+0;0,0,1;(無),防禦,2
鑄鐵腕甲α;82;-2,+0,+3,-1,+0;0,0,0;(無),體力增強,2,雷屬性攻擊強化,1
鑄鐵腕甲β;82;-2,+0,+3,-1,+0;0,0,1;(無),體力增強,2
旅團腕甲α;84;+1,+0,+2,+0,+2;0,0,0;(無),砲擊手,2,精靈加護,1
旅團腕甲β;84;+1,+0,+2,+0,+2;0,0,1;(無),砲擊手,2
熔岩龍腕甲α;88;+3,-3,+1,-2,+2;0,1,0;(無),滑走強化,1,廣域化,1
熔岩龍腕甲β;88;+3,-3,+1,-2,+2;1,0,0;(無),滑走強化,1
風漂龍腕甲α;86;-1,+2,-3,+3,+0;0,0,0;風漂龍的恩寵,飛燕,1,迴避性能,1
風漂龍腕甲β;86;-1,+2,-3,+3,+0;1,0,0;風漂龍的恩寵,飛燕,1
慘爪龍腕甲α;86;+2,+2,-2,-3,+0;0,0,0;慘爪龍的奧秘,體術,1,看破,1
慘爪龍腕甲β;86;+2,+2,-2,-3,+0;0,0,1;慘爪龍的奧秘,體術,1
火龍腕甲α;86;+3,+1,-2,+1,-3;0,0,0;火龍奧秘,火耐性,2,攻擊,1
火龍腕甲β;86;+3,+1,-2,+1,-3;0,0,1;火龍奧秘,火耐性,2
火龍魂腕甲α;82;+3,+2,+2,-3,-4;0,0,1;火龍奧秘,集中,1,風壓耐性,1
火龍魂腕甲β;82;+3,+2,+2,-3,-4;0,1,0;火龍奧秘,集中,1
角龍腕甲α;86;+3,-2,+0,-3,+2;0,0,0;角龍之奧秘,火場怪力,2,耐震,1
角龍腕甲β;86;+3,-2,+0,-3,+2;0,1,0;角龍之奧秘,火場怪力,2
暴君角龍腕甲α;82;+2,-3,+0,-4,+2;0,0,0;角龍之奧秘,集中,1,跑者,1
暴君角龍腕甲β;82;+2,-3,+0,-4,+2;0,1,1;角龍之奧秘,集中,1
爆鎚龍腕甲α;86;+4,-3,+1,-2,-2;0,0,1;爆鎚龍之守護,防禦性能,1,防禦,1
爆鎚龍腕甲β;86;+4,-3,+1,-2,-2;0,1,0;爆鎚龍之守護,防禦性能,1
爆鱗龍腕甲α;84;+3,+1,-4,-2,-2;0,0,0;爆鱗龍之守護,拔刀術技,2,耳塞,1
爆鱗龍腕甲β;84;+3,+1,-4,-2,-2;1,0,0;爆鱗龍之守護,拔刀術技,2
大馬士革腕甲α;86;+4,-2,+0,+0,+0;0,0,0;(無),匠,1,砥石使用高速化,1
大馬士革腕甲β;86;+4,-2,+0,+0,+0;0,0,1;(無),匠,1
杜賓腕甲α;86;-2,+0,-1,-1,+4;0,0,0;(無),耐力急速回復,2,最愛菇類,1
杜賓腕甲β;86;-2,+0,-1,-1,+4;0,0,2;(無),耐力急速回復,1,最愛菇類,1
死神雙手α;88;+3,+2,-2,+3,-4;0,0,1;(無),集中,2,龍屬性攻擊強化,1
死神雙手β;88;+3,+2,-2,+3,-4;0,0,2;(無),集中,2
戰紋腕甲α;84;+1,+1,-3,+1,-3;0,0,0;滅盡龍之飢餓,挑戰者,2,攻擊,1
戰紋腕甲β;84;+1,+1,-3,+1,-3;0,0,1;滅盡龍之飢餓,挑戰者,2
帝王腕甲α;84;+3,-3,+1,-3,+1;0,0,1;炎王龍之武技,弱點特效,2
帝王腕甲β;84;+3,-3,+1,-3,+1;1,0,0;炎王龍之武技,弱點特效,1
鋼龍剛強α;84;+0,+2,-3,+4,-2;0,0,0;鋼龍的飛翔,迴避性能,2,匠,1
鋼龍剛強β;84;+0,+2,-3,+4,-2;1,0,0;鋼龍的飛翔,迴避性能,2
烏爾德腕甲α;84;-4,+4,+1,-1,-3;0,0,1;屍套龍之命脈,無傷,1,回復速度,1
烏爾德腕甲β;84;-4,+4,+1,-1,-3;0,0,3;屍套龍之命脈,無傷,1
麒麟長腕甲α;84;-3,-2,+4,-2,+2;0,0,0;麒麟的恩寵,雷屬性攻擊強化,2,跑者,1
麒麟長腕甲β;84;-3,-2,+4,-2,+2;0,0,2;麒麟的恩寵,雷屬性攻擊強化,2
異種大型鋼爪α;92;-3,+2,+2,+2,-4;0,0,1;冥燈龍的神秘,減輕膽怯,1,超會心,1
異種大型鋼爪β;92;-3,+2,+2,+2,-4;1,0,0;冥燈龍的神秘,減輕膽怯,1
追蹤者手套α;90;+2,+2,+2,+2,+2;0,0,1;調查團的指引,閃光強化,1,剝取鐵人,1
追蹤者手套β;90;+2,+2,+2,+2,+2;0,1,0;調查團的指引,閃光強化,1
殘虐腕甲α;84;+1,+1,-3,+2,-3;0,0,0;(無),力量解放,2,破壞王,1
殘虐腕甲β;84;+1,+1,-3,+2,-3;0,1,0;(無),力量解放,2
絢輝龍鎧羅腕甲α;92;+4,-2,+3,-4,-2;0,0,1;(無),屬性解放裝填擴充,1,強化持續,2
絢輝龍鎧羅腕甲β;92;+4,-2,+3,-4,-2;1,0,1;(無),屬性解放裝填擴充,1,強化持續,1
皇后腕甲α;90;+3,+1,+1,-3,-2;1,0,0;炎妃龍的恩寵,廣域化,2,爆破屬性強化,2
皇后腕甲β;90;+3,+1,+1,-3,-2;1,1,0;炎妃龍的恩寵,廣域化,2
收穫手套α;84;+4,+1,+1,+1,+1;0,1,1;(無),怨恨,1
獵戶星手套α;90;+1,+1,+4,+1,+1;1,0,1;(無),風壓耐性,1
獨角仙后護袖α;80;-1,-1,+2,+0,+2;0,0,0;(無),看破,2,體力增強,1
獨角仙后護袖β;80;-1,-1,+2,+0,+2;0,0,1;(無),看破,2
烏爾德腕甲γ;92;-4,+4,+1,-1,-3;1,1,0;屍套龍之命脈,龍屬性攻擊強化,3
麒麟長腕甲γ;92;-3,-2,+4,-2,+2;0,2,0;麒麟的恩寵,屬性異常狀態的耐性,1,屬性解放裝填擴充,1
蒼星之將腕甲α;82;+2,+2,+0,+0,+3;1,0,0;火龍奧秘,體力回復量UP,2
但丁手套α;84;+3,-3,+3,-3,+3;1,0,0;(無),迴避性能,1,特殊射擊強化,1
騰龍腕甲α;92;-2,-2,+3,-2,+4;0,2,0;龍騎士之證,看破,2,攻擊,1
