#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
# 101裝備
護石：
爆師護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),炸彈客,3
嗜菇護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),最愛菇類,2
覺醒護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),屬性解放裝填擴充,2
匠之護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),匠,3
泥浴護石;0;+0,+0,+0,+0,+0;0,0,0;(無),泥耐性,1,飛身躍入,1
陷阱彈護石;0;+0,+0,+0,+0,+0;0,0,0;(無),異臭名人,1,閃光強化,1
狩獵生活護石;0;+0,+0,+0,+0,+0;0,0,0;(無),烤肉名人,1,釣魚名人,1
籌備護石;0;+0,+0,+0,+0,+0;0,0,0;(無),搬運達人,1,蜂蜜獵人,1
採集鐵人護石;0;+0,+0,+0,+0,+0;0,0,0;(無),採集達人,1,剝取鐵人,1
耐防護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),防禦力DOWN耐性,3
耳塞護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),耳塞,3
耐震護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),耐震,2
痛擊護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),弱點特效,2
集中護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),集中,2
重擊護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),破壞王,2
暴怒護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),怨恨,2
底力護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),火場怪力,2
裝備護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),整備,3
全開護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),力量解放,2
挑戰護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),挑戰者,2
無傷護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),無傷,2
渾身護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),精神抖擻,2
耐衝護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),減輕膽怯,2
耐瘴護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),瘴氣耐性,3
特射護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),特殊射擊強化,2
通常彈護石;0;+0,+0,+0,+0,+0;0,0,0;(無),通常彈通常箭強化,1
心靜自然涼護石;0;+0,+0,+0,+0,+0;0,0,0;(無),熱傷害無效,1,適應瘴氣環境,1
騎手護石;0;+0,+0,+0,+0,+0;0,0,0;(無),騎乘名人,1,跳躍鐵人,1
調查達人護石;0;+0,+0,+0,+0,+0;0,0,0;(無),導蟲反應距離UP,1,研究者,1
超心護石;0;+0,+0,+0,+0,+0;0,0,0;(無),超會心,1
昂揚護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),強化持續,2
貫通彈護石;0;+0,+0,+0,+0,+0;0,0,0;(無),貫通彈龍之箭強化,1
散彈護石;0;+0,+0,+0,+0,+0;0,0,0;(無),散彈剛射強化,1
毒瓶護石;0;+0,+0,+0,+0,+0;0,0,0;(無),毒瓶追加,1
麻痺瓶護石;0;+0,+0,+0,+0,+0;0,0,0;(無),麻痺瓶追加,1
睡眠瓶護石;0;+0,+0,+0,+0,+0;0,0,0;(無),睡眠瓶追加,1
爆破瓶護石;0;+0,+0,+0,+0,+0;0,0,0;(無),爆破瓶追加,1
風水護石;0;+0,+0,+0,+0,+0;0,0,0;(無),探索者的幸運,1,察覺,1
疾風護石;0;+0,+0,+0,+0,+0;0,0,0;(無),滑走強化,1,飛燕,1
滅龍護石;0;+0,+0,+0,+0,+0;0,0,0;(無),龍封力強化,1,龍屬性攻擊強化,1
堅守護石;0;+0,+0,+0,+0,+0;0,0,0;(無),防禦強化,1,死裡逃生,1
